"glmIndep_vimp1","glmIndep_vimp4","glmDep_vimp1","glmDep_vimp4","rfIndep_vimp1","rfIndep_vimp4","rfDep_vimp1","rfDep_vimp4","erIndep_vimp1","erIndep_vimp4","erDep_vimp1","erDep_vimp4","rmrfIndep_vimp1","rmrfIndep_vimp4","rmrfDep_vimp1","rmrfDep_vimp4","model","beta","sigma"
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,"B",0.693147180559945,3
2,1,2,1,2,1,1,2,2,1,2,1,2,1,2,1,"B",0.693147180559945,3
1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
2,1,2,1,2,1,1,2,2,1,2,1,2,1,2,1,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,1,2,2,1,1,2,1,2,1,2,2,1,1,2,"B",0.693147180559945,3
1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
2,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,2,1,1,2,2,1,1,2,"B",0.693147180559945,3
2,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,"B",0.693147180559945,3
2,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,"B",0.693147180559945,3
2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,4,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,4,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,"B",0.693147180559945,3
2,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,"B",0.693147180559945,3
2,1,2,1,2,1,2,1,2,1,1,2,2,1,2,1,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"B",0.693147180559945,3
1,2,2,1,1,2,1,2,1,2,1,2,2,1,1,2,"B",0.693147180559945,3
1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,"B",0.693147180559945,3
2,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,"B",0.693147180559945,3
2,1,2,1,2,1,2,1,2,1,1,2,2,1,1,2,"B",0.693147180559945,3
