"glmIndep_vimp1","glmIndep_vimp2","glmDep_vimp1","glmDep_vimp2","rfIndep_vimp1","rfIndep_vimp2","rfDep_vimp1","rfDep_vimp2","erIndep_vimp1","erIndep_vimp2","erDep_vimp1","erDep_vimp2","rmrfIndep_vimp1","rmrfIndep_vimp2","rmrfDep_vimp1","rmrfDep_vimp2","model","beta","sigma"
2,1,2,1,1,2,1,2,2,1,2,1,2,1,1,2,"A",0.693147180559945,3
1,2,1,2,1,4,2,1,1,2,2,1,1,2,2,1,"A",0.693147180559945,3
2,1,1,2,1,3,1,2,1,2,1,2,1,3,1,2,"A",0.693147180559945,3
1,2,2,1,1,2,1,2,1,2,1,2,1,3,1,2,"A",0.693147180559945,3
2,1,2,1,2,1,1,2,2,1,2,1,2,1,2,1,"A",0.693147180559945,3
2,1,1,2,2,1,1,2,2,1,2,1,2,1,1,2,"A",0.693147180559945,3
2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,1,"A",0.693147180559945,3
1,2,1,2,1,4,1,3,1,2,1,2,1,3,1,2,"A",0.693147180559945,3
4,1,3,1,2,1,2,1,2,1,3,1,2,1,2,1,"A",0.693147180559945,3
2,1,1,2,2,1,1,2,1,2,1,2,1,2,1,2,"A",0.693147180559945,3
3,1,2,1,4,1,3,1,3,1,3,1,4,1,3,1,"A",0.693147180559945,3
2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2,"A",0.693147180559945,3
2,1,1,2,2,1,2,1,1,2,1,2,2,1,2,1,"A",0.693147180559945,3
2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,1,"A",0.693147180559945,3
1,3,1,2,1,2,1,5,1,4,1,3,1,3,1,2,"A",0.693147180559945,3
4,1,2,1,2,4,4,1,2,1,3,1,3,1,2,1,"A",0.693147180559945,3
2,1,2,1,2,1,2,1,2,1,3,1,2,1,2,1,"A",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"A",0.693147180559945,3
1,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,"A",0.693147180559945,3
1,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,"A",0.693147180559945,3
3,1,2,1,2,5,4,1,3,2,2,1,3,2,3,1,"A",0.693147180559945,3
1,3,2,1,1,3,1,2,1,4,1,3,1,4,1,4,"A",0.693147180559945,3
2,1,1,2,2,1,2,1,3,1,2,1,3,1,2,1,"A",0.693147180559945,3
2,1,2,1,2,1,2,1,2,1,2,1,4,1,2,1,"A",0.693147180559945,3
2,1,1,2,1,2,1,2,1,2,1,2,2,1,2,3,"A",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"A",0.693147180559945,3
1,3,1,2,4,1,1,2,1,2,1,2,1,3,1,2,"A",0.693147180559945,3
1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,"A",0.693147180559945,3
2,1,2,1,4,1,3,1,2,1,3,1,4,1,3,1,"A",0.693147180559945,3
1,2,1,2,2,1,2,1,1,3,1,2,1,2,1,2,"A",0.693147180559945,3
1,2,1,2,2,1,1,2,2,1,1,2,1,2,1,2,"A",0.693147180559945,3
2,1,2,1,2,1,2,1,3,1,2,1,5,1,2,1,"A",0.693147180559945,3
1,2,1,2,2,1,2,1,2,1,1,2,2,1,2,1,"A",0.693147180559945,3
