"treeIndep.1","treeIndep.2","treeIndep.3","treeIndep.4","treeDep.1","treeDep.2","treeDep.3","treeDep.4","model","var","cutpoint","beta"
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,0,1,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,0,1,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,0,1,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,1,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,0,1,0,0,0,1,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
0,0,1,0,0,0,1,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
1,0,0,0,1,0,0,0,"A","night-level",0.3,0.693147180559945
